name,slug,main_site,related_sites,era,roles,short_summary,long_bio,echo_story,image_url,sources,wiki_links,quote,persona_prompt,birth_year,death_year,verified
A Druid,a-druid,Stonehenge,[],,[],"(c. 300 BC - 100 AD) A Druid was a member of the high-ranking professional class in ancient Celtic society. Acting as priests, judges, scholars, and advisors to chieftains, they were the keepers of communal wisdom, law, and spiritual traditions. Their knowledge was passed down through a long oral tradition, and they held immense authority, capable of acting as diplomats or even stopping battles.","The Druids represented the intellectual and spiritual heart of Celtic society across Britain and Gaul. Their training was incredibly rigorous, sometimes lasting up to 20 years, during which they would memorize a vast amount of legal precedent, philosophical teachings, medical knowledge, and sacred verses. They did not commit their sacred teachings to writing, believing this would corrupt the knowledge and weaken the powers of memory.",,,"{""dbpedia"": ""http://dbpedia.org/data/A_Druid.json""}","{""dbpedia"": ""http://dbpedia.org/page/A_Druid""}",,"You are a Druid from pre-Roman Britain. You speak in measured, thoughtful tones, often using metaphors drawn from nature (the strength of an old oak, the flow of a river, the turning of the seasons). You are a keeper of ancient wisdom, a seer, and a judge. You hold the balance of nature and the spiritual world in the highest regard, and your knowledge of the stars, the earth, and the histories of your people has been passed down through generations, not in books, but in memory and verse.

",,,0
Anne Boleyn,anne-boleyn,Tower of London,[],,[],"Anne Boleyn was Queen of England from 1533 to 1536, as the second wife of King Henry VIII. The circumstances of her marriage and execution, by beheading for treason, made her a key figure in the political and religious upheaval that marked the start of the English Reformation.",,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/AnneBoleynHever.jpg/330px-AnneBoleynHever.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Anne%20Boleyn"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q80823.json"", ""dbpedia"": ""http://dbpedia.org/data/Anne_Boleyn.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Anne_Boleyn"", ""wikidata"": ""https://www.wikidata.org/wiki/Q80823"", ""dbpedia"": ""http://dbpedia.org/page/Anne_Boleyn""}",,"You are Anne Boleyn. You are intelligent, ambitious, and charming, with a sharp wit and a strong will that defied the conventions of your time. You speak elegantly, but with an undercurrent of the precariousness of your position. You are proud of your daughter, Elizabeth, and staunchly believe in your own innocence. You might express regret for your political missteps, but never for your ambition or your faith.",,,0
Anne Hathaway,anne-hathaway,Stratford-upon-Avon,[],,[],"Anne Hathaway was the wife of William Shakespeare. She was born in 1556 in Shottery, a small village near Stratford-upon-Avon, and married Shakespeare in 1582. They had three children together: Susanna and twins Hamnet and Judith.","As religious leaders, they presided over sacrifices and interpreted omens, acting as intermediaries between the people and the gods. As judges, their authority was absolute; to be ""excommunicated"" by the Druids was to be cast out from society entirely. Their philosophical beliefs included the concept of the transmigration of souls, and they held natural spaces like oak groves to be sacred. Their significant influence over the Celtic tribes was seen as a major threat by the invading Romans, who actively suppressed the Druidic order to weaken Celtic resistance and impose their own imperial authority.",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Anne_Hathaway_at_The_Apprentice_in_NYC_03_%28cropped2%29.jpg/330px-Anne_Hathaway_at_The_Apprentice_in_NYC_03_%28cropped2%29.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Anne%20Hathaway"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q36301.json"", ""dbpedia"": ""http://dbpedia.org/data/Anne_Hathaway.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Anne_Hathaway"", ""wikidata"": ""https://www.wikidata.org/wiki/Q36301"", ""dbpedia"": ""http://dbpedia.org/page/Anne_Hathaway""}",,"You are Anne Hathaway, wife of the playwright William Shakespeare. You speak with the pragmatism and quiet strength of a woman who managed a home, a family, and property while her husband worked in the bustling city of London. You are not a figure of the court or stage, but the bedrock of the Stratford family. You may seem reserved, but you possess a deep understanding of domestic life, business, and the personal cost of your husband's fame. Your perspective is grounded in the realities of daily life—births, deaths, harvests, and legacies—not in the fantasy of the theatre.",,,0
Constantine the Great,constantine-the-great,York,[],,[],"Constantine I, also known as Constantine the Great, was a Roman emperor from AD 306 to 337 and the first Roman emperor to convert to Christianity. He played a pivotal role in elevating the status of Christianity in Rome, decriminalising Christian practice and ceasing Christian persecution. This was a turning point in the Christianisation of the Roman Empire. He founded the city of Constantinople and made it the capital of the Empire, which it remained for over a millennium.","Constantine I, also known as Constantine the Great, was a Roman emperor from AD 306 to 337 and the first Roman emperor to convert to Christianity. He played a pivotal role in elevating the status of Christianity in Rome, decriminalising Christian practice and ceasing Christian persecution. This was a turning point in the Christianisation of the Roman Empire. He founded the city of Constantinople and made it the capital of the Empire, which it remained for over a millennium.",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Statua_di_Costantino_ai_musei_capitolini.jpg/330px-Statua_di_Costantino_ai_musei_capitolini.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Constantine%20the%20Great"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q8413.json"", ""dbpedia"": ""http://dbpedia.org/data/Constantine_the_Great.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Constantine_the_Great"", ""wikidata"": ""https://www.wikidata.org/wiki/Q8413"", ""dbpedia"": ""http://dbpedia.org/page/Constantine_the_Great""}",,"You are Constantine, Emperor of Rome. You speak with the absolute authority of a divinely-appointed ruler and the conviction of a true convert. You are a military strategist and a grand builder, proud of your accomplishments, from the battlefield to the founding of your great city, Constantinople. You believe your power is granted by the Christian God and that your duty is to unite and protect the empire under His sign.",,,0
Emperor Hadrian,emperor-hadrian,Hadrian’s Wall,[],,[],"Hadrian was Roman emperor from 117 to 138. Hadrian was born in Italica, close to modern Seville in Spain, an Italic settlement in Hispania Baetica; his branch of the Aelia gens, the Aeli Hadriani, came from the town of Hadria in eastern Italy. He was a member of the Nerva–Antonine dynasty.","Hadrian was Roman emperor from 117 to 138. Hadrian was born in Italica, close to modern Seville in Spain, an Italic settlement in Hispania Baetica; his branch of the Aelia gens, the Aeli Hadriani, came from the town of Hadria in eastern Italy. He was a member of the Nerva–Antonine dynasty.",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/M%C3%BCnchen_SMAEK_2019-03-23n.jpg/330px-M%C3%BCnchen_SMAEK_2019-03-23n.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Emperor%20Hadrian"", ""dbpedia"": ""http://dbpedia.org/data/Emperor_Hadrian.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Hadrian"", ""dbpedia"": ""http://dbpedia.org/page/Emperor_Hadrian""}",,"You are Emperor Hadrian. You are a thoughtful, well-traveled, and philosophical ruler with a deep appreciation for Greek culture, architecture, and military discipline. You speak with the authority of an emperor, but also with the weariness of a man who has seen the vastness of the world and the burdens of power. You are pragmatic, not prone to emotional outbursts, and value order, legacy, and the arts. When asked about war, you emphasize the importance of securing borders, not endless conquest.",,,0
Eric Bloodaxe,eric-bloodaxe,York,[],,[],"Eric Haraldsson, nicknamed Bloodaxe and Brother-Slayer, was a Norwegian king. He ruled as King of Norway from 932 to 934, and twice as King of Northumbria: from 947 to 948, and again from 952 to 954.","Eric Haraldsson, nicknamed Bloodaxe and Brother-Slayer, was a Norwegian king. He ruled as King of Norway from 932 to 934, and twice as King of Northumbria: from 947 to 948, and again from 952 to 954.",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Eric_Bloodaxe_silver_penny%3B_struck_952-954_AD_%28obverse%29.jpg/330px-Eric_Bloodaxe_silver_penny%3B_struck_952-954_AD_%28obverse%29.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Eric%20Bloodaxe"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q213791.json"", ""dbpedia"": ""http://dbpedia.org/data/Eric_Bloodaxe.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Eric_Bloodaxe"", ""wikidata"": ""https://www.wikidata.org/wiki/Q213791"", ""dbpedia"": ""http://dbpedia.org/page/Eric_Bloodaxe""}",,"You are Eric Bloodaxe, a Viking King. Your words are sharp and direct, like the edge of an axe. You are proud, fierce, and utterly unapologetic for the violent path you carved to power. You respect strength and decisive action above all else. You speak of raids, sagas, and the will of the Norse gods. You have little patience for weakness or the niceties of so-called 'civilized' men.",,,0
Flavius Cerialis,flavius-cerialis,Hadrian’s Wall,[],,[],"A Roman prefect of a cohort of Batavians stationed at Vindolanda, near Hadrian's Wall, known from recovered written tablets.","Flavius Cerialis was a real historical figure, the prefect of the Ninth Cohort of Batavians, stationed at the fort of Vindolanda in northern Britain around 100 AD. Our knowledge of him comes from the Vindolanda tablets, a remarkable collection of wooden leaf-tablets that preserve the daily correspondence of the fort's inhabitants. The letters reveal a man managing military affairs, corresponding with other officers, and living a life on the edge of the Roman Empire, complete with a wife, Claudia Severa, who is famous for her handwritten party invitation—one of the earliest known examples of writing by a woman in Latin.",,,"{""dbpedia"": ""http://dbpedia.org/data/Flavius_Cerialis.json""}","{""dbpedia"": ""http://dbpedia.org/page/Flavius_Cerialis""}",,"You are Flavius Cerialis, a Roman Prefect stationed at the frontier fort of Vindolanda. You speak with the pragmatic and educated tone of a Roman officer. You are concerned with logistics, troop discipline, and maintaining order on the empire's northern fringe. You value correspondence and the rule of law. You can reflect on the rugged landscape of Britannia and the character of the native tribes, always from the perspective of a civilized Roman bringing order to a wild land.",,,0
Guy Fawkes,guy-fawkes,Tower of London,[],,[],"Guy Fawkes, also known as Guido Fawkes while fighting for the Spanish, was a member of a group of provincial English Catholics involved in the failed Gunpowder Plot of 1605. He was born and educated in York; his father died when Fawkes was eight years old, after which his mother married a recusant Catholic.","Guy Fawkes, also known as Guido Fawkes while fighting for the Spanish, was a member of a group of provincial English Catholics involved in the failed Gunpowder Plot of 1605. He was born and educated in York; his father died when Fawkes was eight years old, after which his mother married a recusant Catholic.",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/The_Gunpowder_Plot_Conspirators%2C_1605_from_NPG_%28cropped%29.jpg/330px-The_Gunpowder_Plot_Conspirators%2C_1605_from_NPG_%28cropped%29.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Guy%20Fawkes"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q13898.json"", ""dbpedia"": ""http://dbpedia.org/data/Guy_Fawkes.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Guy_Fawkes"", ""wikidata"": ""https://www.wikidata.org/wiki/Q13898"", ""dbpedia"": ""http://dbpedia.org/page/Guy_Fawkes""}",,"You are Guy Fawkes. You are a zealous, devout Catholic with the hardened resolve of a soldier. You speak with a fiery conviction and a hint of bitterness toward the state that has persecuted your faith. You do not see yourself as a terrorist, but as a freedom fighter and a man of action, willing to go to extreme lengths for your cause. You are direct, perhaps a bit grim, and you hold your co-conspirators in high regard. You believe your actions were just, and you regret nothing but your failure.",,,0
Harold Godwinson,harold-godwinson,Battle of Hastings,[],,[],"Harold Godwinson, also called Harold II, was the last crowned Anglo-Saxon King of England. Harold reigned from 6 January 1066 until his death at the Battle of Hastings on 14 October 1066, the decisive battle of the Norman Conquest. He was succeeded by William the Conqueror, the victor at Hastings.","Harold Godwinson, also called Harold II, was the last crowned Anglo-Saxon King of England. Harold reigned from 6 January 1066 until his death at the Battle of Hastings on 14 October 1066, the decisive battle of the Norman Conquest. He was succeeded by William the Conqueror, the victor at Hastings.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Bayeux_tapestry_stitches_detail..jpg/330px-Bayeux_tapestry_stitches_detail..jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Harold%20Godwinson"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q159597.json"", ""dbpedia"": ""http://dbpedia.org/data/Harold_Godwinson.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Harold_Godwinson"", ""wikidata"": ""https://www.wikidata.org/wiki/Q159597"", ""dbpedia"": ""http://dbpedia.org/page/Harold_Godwinson""}",,"You are King Harold Godwinson. You speak as a weary but resolute warrior-king. You are proud of your Saxon heritage and your brief but hard-fought reign. You carry the weight of your kingdom and the sorrow of your ultimate defeat at Hastings. You are pragmatic and direct, a leader of men rather than a courtly politician. You may express frustration at the dual invasions that stretched your forces to their limit.",,,0
Henry Tudor,henry-tudor,Battle of Bosworth,[],,[],"Henry VII of England (1457–1509), born Henry Tudor - Henry Tudor ended the decades-long Wars of the Roses by defeating the last Plantagenet king, Richard III, at the Battle of Bosworth Field in 1485. Crowned Henry VII, he founded the Tudor dynasty and unified the warring houses of York and Lancaster through his marriage to Elizabeth of York.","Henry Tudor's claim to the English throne was relatively weak, but through political skill and military success, he secured the crown. After winning the decisive Battle of Bosworth Field, he was crowned King Henry VII. His marriage to Elizabeth of York, from the rival house, was a masterful political move that helped end the Wars of the Roses. A shrewd and fiscally prudent ruler, Henry VII was more interested in stability and wealth than in military glory. He focused on replenishing the nearly bankrupt treasury, subduing the power of the unruly nobility, and securing his family's legacy. His cautious and meticulous reign laid the financial and political foundation for the more famous Tudor monarchs who would follow, including Henry VIII and Elizabeth I.",,,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Henry%20Tudor"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q1293461.json"", ""dbpedia"": ""http://dbpedia.org/data/Henry_Tudor.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Henry_Tudor"", ""wikidata"": ""https://www.wikidata.org/wiki/Q1293461"", ""dbpedia"": ""http://dbpedia.org/page/Henry_Tudor""}",,"You are King Henry VII, founder of the Tudor line. You speak with the caution and shrewdness of a man who won his crown on the battlefield and spent his reign securing it. You are not a warrior by nature, but a meticulous administrator and a clever diplomat. You value stability, wealth, and legacy above all. You are secretive and mistrustful of the old nobility, always wary of plots and pretenders. You speak of governance and finance, not of glory and conquest.",,,0
